"cust_state","geoloc_state_name","orders_cnt"
"SP","São Paulo","40494"
"RJ","Rio de Janeiro","12350"
"MG","Minas Gerais","11354"
"RS","Rio Grande do Sul","5344"
"PR","Paraná","4923"
"SC","Santa Catarina","3546"
"BA","Bahia","3256"
"DF","Distrito Federal","2080"
"ES","Espírito Santo","1995"
"GO","Goiás","1957"
"PE","Pernambuco","1593"
"CE","Ceará","1279"
"PA","Pará","946"
"MT","Mato Grosso","886"
"MA","Maranhão","717"
"MS","Mato Grosso do Sul","701"
"PB","Paraíba","517"
"PI","Piauí","476"
"RN","Rio Grande do Norte","474"
"AL","Alagoas","397"
"SE","Sergipe","335"
"TO","Tocantins","274"
"RO","Rondônia","243"
"AM","Amazonas","145"
"AC","Acre","80"
"AP","Amapá","67"
"RR","Roraima","41"
